,Date, Close/Last, Open, High, Low
113,10/22/2019,1765.73,1788.15,1789.7799,1762.0
114,10/21/2019,1785.66,1769.66,1785.88,1765.0
115,10/18/2019,1757.51,1787.8,1793.98,1749.2001
116,10/17/2019,1787.48,1796.49,1798.85,1782.02
117,10/16/2019,1777.43,1773.33,1786.24,1770.521
118,10/15/2019,1767.38,1742.14,1776.45,1740.62
119,10/14/2019,1736.43,1728.91,1741.8887,1722.0
120,10/11/2019,1731.92,1742.92,1745.45,1729.86
121,10/10/2019,1720.26,1725.24,1738.29,1713.75
122,10/09/2019,1721.99,1719.61,1729.95,1714.36
123,10/08/2019,1705.51,1722.49,1727.0,1705.0
124,10/07/2019,1732.66,1731.63,1747.83,1723.7
125,10/04/2019,1739.65,1726.02,1740.575,1719.23
126,10/03/2019,1724.42,1713.0,1725.0,1685.06
127,10/02/2019,1713.23,1727.74,1728.89,1705.0
128,10/01/2019,1735.65,1746.0,1755.6,1728.41
129,09/30/2019,1735.91,1726.99,1737.46,1709.22
130,09/27/2019,1725.45,1748.0,1749.12,1713.82
131,09/26/2019,1739.84,1762.79,1763.37,1731.5
132,09/25/2019,1768.33,1747.36,1773.0,1723.0
133,09/24/2019,1741.61,1790.605,1795.705,1735.545
134,09/23/2019,1785.3,1777.0,1792.7,1767.32
135,09/20/2019,1794.16,1821.71,1830.63,1780.92
136,09/19/2019,1821.5,1821.02,1832.57,1817.9
137,09/18/2019,1817.46,1817.04,1822.06,1795.5
138,09/17/2019,1822.55,1807.08,1823.99,1804.1
139,09/16/2019,1807.84,1824.02,1825.6941,1800.2
140,09/13/2019,1839.34,1842.01,1846.1215,1835.17
141,09/12/2019,1843.55,1837.63,1853.66,1834.28
142,09/11/2019,1822.99,1812.14,1833.42,1809.08
143,09/10/2019,1820.55,1822.75,1825.81,1805.3356
144,09/09/2019,1831.35,1841.0,1850.0,1824.61
145,09/06/2019,1833.51,1838.22,1840.65,1826.4
146,09/05/2019,1840.72,1821.95,1842.0,1815.575
147,09/04/2019,1800.62,1805.0,1807.6308,1796.23
148,09/03/2019,1789.84,1770.0,1800.8,1768.0
149,08/30/2019,1776.29,1797.49,1799.74,1764.57
150,08/29/2019,1786.4,1783.0,1798.55,1777.25
151,08/28/2019,1764.25,1755.0,1767.86,1744.0505
152,08/27/2019,1761.83,1775.73,1779.4,1746.68
153,08/26/2019,1768.87,1766.91,1770.0,1743.51
154,08/23/2019,1749.62,1793.03,1804.8962,1745.23
155,08/22/2019,1805.6,1828.0,1829.4111,1800.1
156,08/21/2019,1823.54,1819.39,1829.5785,1815.0
157,08/20/2019,1801.38,1814.5,1816.82,1799.88
158,08/19/2019,1816.12,1818.08,1826.0,1812.61
159,08/16/2019,1792.57,1792.89,1802.9082,1784.5496
160,08/15/2019,1776.12,1781.99,1788.0,1761.96
161,08/14/2019,1762.96,1793.01,1795.6514,1757.215
162,08/13/2019,1824.34,1783.0,1831.7429,1780.0
163,08/12/2019,1784.92,1795.99,1800.98,1777.0
164,08/09/2019,1807.58,1828.95,1831.091,1802.22
165,08/08/2019,1832.89,1806.0,1834.26,1798.11
166,08/07/2019,1793.4,1773.99,1798.93,1757.0
167,08/06/2019,1787.83,1792.23,1793.77,1753.4
168,08/05/2019,1765.13,1770.22,1788.6678,1748.78
169,08/02/2019,1823.24,1845.07,1846.3634,1808.02
170,08/01/2019,1855.32,1871.72,1897.92,1844.01
171,07/31/2019,1866.78,1898.11,1899.55,1849.44
172,07/30/2019,1898.53,1891.115,1909.89,1883.48
173,07/29/2019,1912.45,1930.0,1932.226,1890.54
174,07/26/2019,1943.05,1942.0,1950.895,1924.51
175,07/25/2019,1973.82,2001.0,2001.2,1972.72
176,07/24/2019,2000.81,1969.3,2001.3,1965.87
177,07/23/2019,1994.49,1995.99,1997.79,1973.13
178,07/22/2019,1985.63,1971.14,1989.0,1958.26
179,07/19/2019,1964.52,1991.21,1996.0,1962.2255
180,07/18/2019,1977.9,1980.01,1987.5,1951.55
181,07/17/2019,1992.03,2007.05,2012.0,1992.03
182,07/16/2019,2009.9,2010.58,2026.3196,2001.22
183,07/15/2019,2020.99,2021.4,2022.9,2001.55
184,07/12/2019,2011.0,2008.27,2017.0,2003.87
185,07/11/2019,2001.07,2025.62,2035.8,1995.3
186,07/10/2019,2017.41,1996.51,2024.94,1995.4
187,07/09/2019,1988.3,1947.8,1990.01,1943.475
188,07/08/2019,1952.32,1934.12,1956.0,1928.2532
189,07/05/2019,1942.91,1928.6,1945.9,1925.3
190,07/03/2019,1939.0,1935.89,1941.59,1930.5
191,07/02/2019,1934.31,1919.38,1934.79,1906.63
192,07/01/2019,1922.19,1922.98,1929.82,1914.66
193,06/28/2019,1893.63,1909.1,1912.94,1884.0
194,06/27/2019,1904.28,1902.0,1911.24,1898.04
195,06/26/2019,1897.83,1892.48,1903.8,1887.32
196,06/25/2019,1878.27,1911.84,1916.385,1872.42
197,06/24/2019,1913.9,1912.66,1916.86,1901.3
198,06/21/2019,1911.3,1916.1,1925.95,1907.58
199,06/20/2019,1918.19,1933.33,1935.2,1905.8
200,06/19/2019,1908.79,1907.84,1919.5807,1892.47
201,06/18/2019,1901.37,1901.35,1921.67,1899.79
202,06/17/2019,1886.03,1876.5,1895.688,1875.45
203,06/14/2019,1869.67,1864.0,1876.0,1859.0
204,06/13/2019,1870.3,1866.72,1883.09,1862.22
205,06/12/2019,1855.32,1853.98,1865.0,1844.38
206,06/11/2019,1863.7,1883.25,1893.7,1858.0
207,06/10/2019,1860.63,1822.0,1884.87,1818.0
208,06/07/2019,1804.03,1763.7,1806.2538,1759.49
209,06/06/2019,1754.36,1737.71,1760.0,1726.13
210,06/05/2019,1738.5,1749.6,1752.0,1715.2514
211,06/04/2019,1729.56,1699.24,1730.82,1680.89
212,06/03/2019,1692.69,1760.01,1766.29,1672.0
213,05/31/2019,1775.07,1790.01,1795.585,1772.7034
214,05/30/2019,1816.32,1825.49,1829.47,1807.825
215,05/29/2019,1819.19,1823.12,1830.0,1807.5327
216,05/28/2019,1836.43,1832.75,1849.2669,1827.35
217,05/24/2019,1823.28,1835.89,1841.76,1817.851
218,05/23/2019,1815.48,1836.59,1844.0,1804.2
219,05/22/2019,1859.68,1851.78,1871.485,1851.0
220,05/21/2019,1857.52,1874.79,1878.9999,1846.0
221,05/20/2019,1858.97,1852.69,1867.78,1835.54
222,05/17/2019,1869.0,1893.05,1910.53,1867.33
223,05/16/2019,1907.57,1885.94,1917.51,1882.29
224,05/15/2019,1871.15,1827.95,1874.427,1823.0
225,05/14/2019,1840.12,1839.5,1852.44,1815.75
226,05/13/2019,1822.68,1836.56,1846.535,1818.0
227,05/10/2019,1889.98,1898.0,1903.79,1856.0
228,05/09/2019,1899.87,1900.0,1909.4,1876.0
229,05/08/2019,1917.77,1918.87,1935.37,1910.0
230,05/07/2019,1921.0,1939.99,1949.1005,1903.3795
231,05/06/2019,1950.55,1917.98,1959.0,1910.5
232,05/03/2019,1962.46,1949.0,1964.4,1936.0
233,05/02/2019,1900.82,1913.33,1921.55,1881.87
234,05/01/2019,1911.52,1933.09,1943.64,1910.55
235,04/30/2019,1926.52,1930.1,1935.71,1906.95
236,04/29/2019,1938.43,1949.0,1956.335,1934.09
237,04/26/2019,1950.63,1929.0,1951.0,1898.0
238,04/25/2019,1902.25,1917.004,1922.45,1900.31
239,04/24/2019,1901.75,1925.0,1929.6899,1898.16
240,04/23/2019,1923.77,1891.2,1929.26,1889.58
241,04/22/2019,1887.31,1855.4,1888.42,1845.64
242,04/18/2019,1861.69,1868.79,1870.82,1859.48
243,04/17/2019,1864.82,1872.99,1876.473,1860.44
244,04/16/2019,1863.04,1851.35,1869.77,1848.0
245,04/15/2019,1844.87,1842.0,1846.85,1818.9
246,04/12/2019,1843.06,1848.4,1851.5,1841.3
247,04/11/2019,1844.07,1848.7,1849.95,1840.31
248,04/10/2019,1847.33,1841.0,1848.0,1828.81
249,04/09/2019,1835.84,1845.49,1853.09,1831.78
250,04/08/2019,1849.86,1833.23,1850.2,1825.11
251,04/05/2019,1837.28,1829.0,1838.58,1825.19
